"Story","Title","Result","Date","Stability","Duration (s)"
"Purchase a categorize item","Searching and purchasing by category","PENDING","2022-07-04T12:48:49.583-05:00[America/Bogota]","0.0","18.34"
"Clean Cart","go to Home and clean cart","SUCCESS","2022-07-04T11:49:59.897-05:00[America/Bogota]","0.0","41.43"
"Purchase an item on BangGood app","Searching and purchasing an item on BangGood app","SUCCESS","2022-07-04T12:32:58.212-05:00[America/Bogota]","0.0","51.37"
"Purchase a searh item","Searching and purchasing by SearhBar","SUCCESS","2022-07-04T11:48:36.06-05:00[America/Bogota]","0.0","49.33"
"Purchase an item on BangGood app","Recommend and purchasing an item on BangGood app","SUCCESS","2022-07-05T16:08:52.717-05:00[America/Bogota]","0.0","53.76"
"Purchase a categorize item","Category and purchasing","SUCCESS","2022-07-05T16:09:46.965-05:00[America/Bogota]","0.0","56.7"
"Purchase an item on the search bar","Searching and purchasing by SearchBar","SUCCESS","2022-07-05T16:10:43.809-05:00[America/Bogota]","0.0","37.28"
"cleaning the shopping cart","going to home section to clean the carta","SUCCESS","2022-07-05T16:11:21.249-05:00[America/Bogota]","0.0","33.62"
