"Story","Title","Result","Date","Stability","Duration (s)"
"checking the optic fiber page","Brandon wants to check the Tv fiber and mobile plan","SUCCESS","2022-05-19T16:14:01.632-05:00[America/Bogota]","0.0","24.29"
"Review on the Alcatel module","Brandon opens the website and reviews the Alcatel lists on the equipos tab","FAILURE","2022-05-19T16:14:30.346-05:00[America/Bogota]","0.0","61.97"
"Brandon wants to check the huawei accesories","Brandon checks the prices on the Huawei accesories","SUCCESS","2022-05-19T16:17:38.91-05:00[America/Bogota]","0.0","24.92"
